pygame 2.3.0 (SDL 2.24.2, Python 3.10.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Number of generations: 23
Real time spent: 4.15018s
CPU time spent: 4.15012s
Number of fitness evaluations: 2191
Best fitness: 6.532679501993809
         2576315 function calls (2478219 primitive calls) in 8.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      117    0.010    0.000   10.472    0.090 __init__.py:1(<module>)
   1218/1    0.019    0.000    8.662    8.662 {built-in method builtins.exec}
        1    0.000    0.000    8.662    8.662 image_evolution.py:1(<module>)
  1151/11    0.013    0.000    4.492    0.408 <frozen importlib._bootstrap>:1022(_find_and_load)
  1138/11    0.010    0.000    4.492    0.408 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1100/11    0.011    0.000    4.488    0.408 <frozen importlib._bootstrap>:664(_load_unlocked)
  1636/11    0.004    0.000    4.487    0.408 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   925/11    0.005    0.000    4.486    0.408 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    4.174    4.174 image_evolution.py:134(main)
        1    0.000    0.000    4.169    4.169 image_evolution.py:33(run_algorithm)
       23    0.002    0.000    4.012    0.174 GeneralSearch.py:23(step)
       23    0.037    0.002    3.972    0.173 GA.py:50(perturb)
   711/80    0.002    0.000    3.812    0.048 {built-in method builtins.__import__}
 1287/252    0.011    0.000    3.535    0.014 <frozen importlib._bootstrap>:1053(_handle_fromlist)
90075/24829    0.257    0.000    2.636    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    14092    0.025    0.000    2.578    0.000 Individual.py:87(fitness)
     2191    0.006    0.000    2.550    0.001 ObjectiveFunc.py:35(__call__)
     2191    0.018    0.000    2.544    0.001 ObjectiveFunc.py:51(fitness)
     2191    0.037    0.000    2.466    0.001 ImgFuncs.py:70(objective)
     2300    0.011    0.000    2.462    0.001 Individual.py:60(store_best)
     2191    0.029    0.000    2.362    0.001 ImgFuncs.py:72(<listcomp>)
        1    0.000    0.000    2.245    2.245 Search.py:1(<module>)
        1    0.001    0.001    1.924    1.924 pyplot.py:1(<module>)
3049/2906    0.029    0.000    1.852    0.001 {built-in method builtins.__build_class__}
     6573    0.026    0.000    1.624    0.000 <__array_function__ internals>:177(histogram)
     6573    0.091    0.000    1.571    0.000 histograms.py:678(histogram)
      100    0.001    0.000    1.360    0.014 artist.py:159(_update_set_signature_and_docstring)
       99    0.001    0.000    1.333    0.013 artist.py:126(__init_subclass__)
     2398    0.007    0.000    1.200    0.001 Operator.py:59(__call__)
      112    0.001    0.000    1.073    0.010 artist.py:1841(kwdoc)
        1    0.000    0.000    1.069    1.069 OperatorReal.py:1(<module>)
        1    0.000    0.000    1.066    1.066 vector_operator_functions.py:1(<module>)
        1    0.000    0.000    1.016    1.016 figure.py:1(<module>)
     2061    0.031    0.000    0.970    0.000 OperatorReal.py:111(evolve)
        1    0.000    0.000    0.952    0.952 _stats_py.py:1(<module>)
      112    0.017    0.000    0.906    0.008 artist.py:1602(pprint_setters)
     6573    0.025    0.000    0.798    0.000 <__array_function__ internals>:177(sort)
        1    0.000    0.000    0.755    0.755 colorbar.py:1(<module>)
     2061    0.532    0.000    0.753    0.000 vector_operator_functions.py:272(multiCross)
     4050    0.046    0.000    0.748    0.000 artist.py:1474(get_valid_values)
     6573    0.035    0.000    0.748    0.000 fromnumeric.py:852(sort)
     6603    0.025    0.000    0.712    0.000 <__array_function__ internals>:177(linspace)
     6573    0.691    0.000    0.691    0.000 {method 'sort' of 'numpy.ndarray' objects}
     6805    0.352    0.000    0.678    0.000 inspect.py:744(cleandoc)
     6603    0.156    0.000    0.661    0.000 function_base.py:23(linspace)
