,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Nexecs,PopSize,ExecTime,fitness
0,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018589870000003117,213.8252862484002
1,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017124790000000445,1047.251587410224
2,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001987329000000315,775.6893589720371
3,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016058100000000408,512.0912672873163
4,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015811999999995052,124.36093701689401
5,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001537694000000478,41.07364796446525
6,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001661426000000077,664.2160167451218
7,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016208150000007748,510.2979600710444
8,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016414739999994765,628.1660429794329
9,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.002336707999999632,420.7186952246194
10,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017007280000003178,65.84058464303575
11,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016115309999999994,1235.7316375268508
12,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001618030000000381,748.1467070498314
13,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015607969999997806,732.413152927141
14,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017134370000002619,246.66537565778216
15,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016572960000003079,322.2561345802791
16,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001890953000000195,161.37129915177786
17,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001887459999999841,1087.759320620545
18,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001589041999999985,558.9149509050582
19,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016634230000001082,333.24761570058257
20,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016562179999999316,469.78004857262806
21,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015685589999998584,1368.3701028708854
22,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001896191000000158,1068.1272775111922
23,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0022024160000002624,472.4838364188026
24,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017228239999997896,1048.1077380316437
25,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016395149999999248,136.6169651458108
26,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015757320000000519,455.7871221672489
27,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016111570000001407,141.94504086886226
28,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.002059071999999773,246.70127511031805
29,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017734369999997668,257.80229036575474
30,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018112669999998943,361.8364932787317
31,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016046449999995716,784.6774501174286
32,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016528229999996924,245.21041171011163
33,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017671930000000557,809.6599805460933
34,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016352849999998753,1144.2286257188125
35,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018490630000007613,357.4915687893803
36,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018393709999999786,846.7370400877699
37,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017209620000002701,167.1269438757214
38,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016661760000005188,1080.5097569190007
39,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015752640000004092,728.6735882839389
40,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017148680000005356,439.3492880345944
41,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001895107999999368,287.34672605432826
42,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019894560000004446,573.4160611739695
43,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016894790000003823,121.34056309825846
44,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015581960000004003,199.96956404948568
45,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016444279999996425,609.4925261134977
46,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015758410000001888,1002.3415907722502
47,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001608219999999605,898.7314650303388
48,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017876650000001604,1104.4761833077712
