,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3975444389999998,0.07938646454911691
1,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.4169345279999996,0.004275718701936881
2,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3515601579999998,0.0023745173140952147
3,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.4248949079999997,0.000290834071215329
4,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3822629429999989,0.005858876380017364
5,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3724496430000013,0.0008460683992730367
6,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.351897997,0.0008145299312616316
7,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.368160034999999,0.020697558731647803
8,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3603417350000004,0.04691314519056533
9,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3766375889999996,0.0014126165886914066
10,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3542789460000009,0.0023121854749277304
11,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.329548293000002,0.00915317803996274
12,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.319852174000001,0.0048967017053307416
13,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.393775883,0.006333908560371526
14,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3391497020000003,0.0045533903858867575
15,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3243506479999994,0.0005542627092509633
16,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3269176519999988,0.0304405295673007
17,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3708991529999999,0.007053105319478448
18,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3731502609999993,0.0006261210526368188
19,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3593970799999973,0.012515526148018097
20,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3392105990000012,0.026677852081753883
21,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3351904909999988,0.03498737739625568
22,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3258521040000062,0.037830106981122213
23,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.410844130000001,0.16587708081220853
24,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.349256054999998,0.016068181103008783
25,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.3275396410000013,0.007337891053474266
26,rastrigin,2,uniformsample,onepoint,generational,elitism,300,100,1.336286084000001,0.01670430779161336
