,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.734974982,45594.79780797788
1,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.75632024,51610.91584794617
2,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.6406692279999997,45665.271073623415
3,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7027944229999998,50239.17730193872
4,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7043559049999999,45747.5777868588
5,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7101664860000003,56173.2001104524
6,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7282056919999995,56624.63676287432
7,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7185107039999998,45074.54911340785
8,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7271036110000004,69702.62327154723
9,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7274361500000008,71368.39123172646
10,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7262849019999997,43059.570032858464
11,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7202759489999995,42858.890300319435
12,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7231513110000005,54144.92204286513
13,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7380534699999988,46081.648206467864
14,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7372504600000003,59827.06449868951
15,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7311060310000013,67110.89104881835
16,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7198769980000002,66038.29597335777
17,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7373999999999992,56597.98762847243
18,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7260099479999997,50657.33684819279
19,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7252108289999999,63559.52423544532
20,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7250034089999993,63527.04854338362
21,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7278127089999984,52047.63236799041
22,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7352421190000022,60154.820040378974
23,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7614417769999982,59934.97987670541
24,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7489901759999995,49261.72438782975
25,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7248788329999982,69540.65092833206
26,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7239090780000019,65464.596367013124
27,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.697573663,49160.73633266825
28,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.6651806160000007,67544.45883413474
29,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.719478892999998,49646.268337360525
30,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7138332869999999,69521.3529692384
31,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7316256630000026,60642.82848356431
32,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.730186971000002,48700.41852725469
33,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7349423399999999,50148.651302170045
34,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7374895689999974,82669.977348878
35,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7578098540000013,40312.75171859192
36,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7382734580000019,47744.677995252016
37,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7178331600000014,61438.93017869267
38,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7339941939999974,60654.30498525798
39,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.717212233999998,42401.367732639905
40,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7186720159999993,46544.785322860225
41,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7296447870000016,51833.55758796049
42,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7228279129999962,66847.42131765273
43,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7216395700000007,66227.39277839362
44,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7331376509999998,50792.141391454956
45,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7194787309999953,53105.16198373186
46,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7463353629999929,44421.44152726539
47,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7158103439999977,63599.75960866587
48,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7187250459999959,42232.81115282226
49,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7165368400000034,63624.321190374496
50,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7211873749999995,71959.80702794381
51,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7336147939999975,48784.74347506778
52,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7208706799999973,54349.736692550476
53,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7182120300000037,55979.81496486069
54,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7264795959999972,64029.43440775881
55,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.729869328999996,59761.17514306699
56,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7404078480000038,48867.19310154604
57,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7247227870000046,46259.391001925
58,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.740362171000001,60405.99489602918
59,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7338985279999974,54622.462781178445
60,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7195538160000012,65764.59217155314
61,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7156825080000004,70252.64507070278
62,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7171770599999974,40612.96175354121
63,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7233098720000015,45955.55335261214
64,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7206670210000041,68537.90615801944
65,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7178136960000003,67110.12820642318
66,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.737946112000003,59860.36768380956
67,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7154478319999953,77476.7918482076
68,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7313911789999992,62682.90587101083
69,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.735502228999998,56327.04467790964
70,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7301759260000011,56498.71923139363
71,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.727696084999998,67062.47104729283
72,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7308468280000042,63753.700795799174
73,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7336117850000008,67544.84161233137
74,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7281590430000051,62575.83062257406
75,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7567798070000009,63798.44384372801
76,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7309133609999989,64328.82377198359
77,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7283176460000007,57209.96378754507
78,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7412050740000069,66321.90526860965
79,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7317254780000013,47075.39198631657
80,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7268082960000015,39074.976770706926
81,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7265203239999991,78218.50120270728
82,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7419051610000054,40178.34731947121
83,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7342505809999977,37653.686720330705
84,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7305221049999986,65163.72321766705
85,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7356708840000081,50001.571020158364
86,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7263787779999973,61547.75340570962
87,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7287595150000072,58313.80881460101
88,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7254231979999872,64741.929286815815
89,sphere,100,uniformnoise,onepoint,generational,elitism,300,100,0.7285253049999909,56702.489488108295
