,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.462175994000001,-93.67981647405911
1,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.550414198999999,-96.81072550510876
2,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.421545849999998,-89.32560846725423
3,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.375402512999997,-91.28520347537918
4,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.178211680999997,-86.04790395499636
5,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.0134054449999965,-87.78363749448022
6,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.855921202000005,-102.58906363167034
7,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.430930793000002,-84.92140943852328
8,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.520029958999999,-87.42976322788054
9,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.5713498710000025,-87.70217373700982
10,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.284507818999998,-93.77174626044626
11,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.483758014999992,-92.57135665184842
12,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.348905176000002,-88.7387038740347
13,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.559422213999994,-95.47542071934834
14,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,7.011153003999993,-97.21709316896975
15,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,7.104295767000011,-103.86171697982662
16,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.366622751999998,-90.5829974844985
17,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.251358144000008,-99.18153798776098
18,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.369153544,-91.50214009386167
19,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.912437417000007,-85.63710588739296
20,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.947653516999992,-88.20795718414986
21,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.9102259179999805,-95.71815604631695
22,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.416864793000002,-88.77375134283251
23,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.721771900000022,-93.21120900356449
24,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.038349457999999,-92.13952866030436
25,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.198164525999999,-96.55157564445445
26,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.100473824000005,-87.07375470741121
27,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.235453408000012,-97.75345972220812
28,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.468136953999988,-87.00779941237526
29,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.069717177000001,-81.10839967284068
30,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.171198257999976,-94.06874385656343
31,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.852678131000005,-85.91183020935313
32,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.327128939999994,-90.25097738833333
33,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.871228478999996,-90.2865686604912
34,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.004760957000002,-88.80116127626154
35,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.861606821999999,-100.54506021972664
36,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.317646579000012,-87.19514653368088
37,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.8828248979999955,-85.38867021624634
38,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.001003836000024,-93.82328849834985
39,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.4133641569999895,-95.10644978663245
40,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.3437019289999625,-94.60508049375339
41,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.359912572999974,-91.86992372555653
42,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.110826512000017,-85.06605517600904
43,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.433955676999972,-85.93384183401766
44,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.194970382000008,-90.39394374669286
45,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.379766490000009,-90.73153841043629
46,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.3942042589999915,-83.4225283240105
47,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.71958709200004,-85.27110810272134
48,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.367433653000035,-90.42696877997354
49,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.350712103999967,-82.7402793494691
50,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.315015752000022,-93.79570630925849
51,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.1893798110000375,-92.87731383313714
52,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.369714756000008,-100.976911074473
53,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.393347186999961,-91.38429455197068
54,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.322189583000011,-95.92638440613477
55,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.3629429609999875,-94.03862681705898
56,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.376142955000034,-87.17162173609152
57,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.045742527000016,-87.10521215403723
58,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.062050268000007,-92.1046910143065
59,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.087678340000025,-87.3041862295181
60,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.828015244000028,-92.24717885871186
61,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.815626531000021,-86.66508874157218
62,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.436465812999984,-94.94221989727292
63,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.694377188999965,-94.59123366114707
64,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.038356691000047,-89.02573966824889
65,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.982672180999998,-83.2010286905866
66,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.87567121699999,-98.3443805686964
67,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.167313852999996,-93.72918363660308
68,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.54854494999995,-101.05727414307967
69,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.378715390999957,-93.98713323580493
70,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.415734837000002,-85.46980647723078
71,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.2923064860000295,-94.86676322575653
72,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.979844990999993,-90.84047617805155
73,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.338229342000034,-92.83812889970706
74,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.027528024999981,-88.21039071227914
75,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.231384006000042,-86.51418916303189
76,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.654779219000034,-97.2538645876888
77,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.367838154000026,-81.53114892856024
78,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.973945269000012,-93.0657547585355
79,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.166162471000007,-82.92202054234906
80,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.651669964000007,-91.96057070850088
81,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.854332814000031,-84.18290973170394
82,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.322767702999954,-90.27106993665264
83,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.822361017999924,-86.14316758636149
84,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.249125268000057,-88.84565426689868
85,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.0402439690000165,-77.5701575692122
86,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.102472906000003,-86.9494055247731
87,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,5.990847543999962,-83.0490817307546
88,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.1292657589999635,-90.46076314337031
89,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.496826260000034,-103.11574173056304
90,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.512951354000052,-95.53053936149027
91,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.280306472999996,-87.74707044802997
92,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.893767141000012,-92.58770950371706
93,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.00743159000001,-94.26848936796979
94,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.059494873000062,-83.17650649907175
95,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.487543636000055,-99.23953668975129
96,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.101481822999972,-90.25625650774924
97,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.280424347000007,-85.88942285513738
98,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.160775550000039,-88.3231990222265
99,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,7.057466936000083,-98.76784719981528
100,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.702636119999966,-94.73650462671054
101,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.557529079999995,-89.9791540530641
102,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.45335899600002,-96.82963766319442
103,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.039592112000037,-91.56117699921082
104,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,6.288537366000014,-89.63926507199248
