,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Nexecs,PopSize,ExecTime,fitness
0,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019243380000002475,255.93953641843572
1,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018963879999995825,581.4488335875965
2,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.002123184999999417,1260.9507963011886
3,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001768769999999975,189.39039338429257
4,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017397109999999216,276.50343846666647
5,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016515649999995219,1356.8437598849475
6,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017071829999997234,1364.8012823698648
7,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001981715000000328,276.5935371974195
8,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018024460000001241,704.7236223887834
9,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016514970000001128,721.2902515103569
