,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.3197066859999995,2262.4227257294224
1,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.3840469639999995,5125.807856177031
2,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.3832115089999997,9833.879025901451
3,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.3346212449999992,16858.572538769407
4,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.314927762,25018.090443244895
5,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.6851246200000016,34793.72522136562
6,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.812544697,46843.56189828033
7,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8380700660000002,60457.08929252493
8,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7955794119999986,75821.44833605409
9,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.809803018,92215.19227943926
10,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8103672700000004,109603.9483750304
11,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8216795410000017,132423.56073045605
12,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8924147110000007,155747.66209207784
13,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7963435539999963,179030.21485490142
14,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.790612406000001,207415.90396217874
15,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8477101960000013,235743.7065373
16,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8418452700000003,270386.95360157144
17,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8668837600000003,301950.45697498927
18,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8680797069999997,325468.4810141887
19,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.865056916999997,362530.7127969626
20,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.868163079999995,396124.13650213944
21,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.863803459000003,428357.3445338787
22,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8645643409999977,464576.98991847807
23,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.870172397999994,501071.83150299505
24,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8451676650000053,536522.8798439164
25,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.852334552000002,576459.2062880455
26,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.878823177000001,618981.1575418536
27,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.827811258000011,667492.7859023977
28,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.841681715000007,716531.6611636397
29,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7972538389999926,766907.0003326315
30,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8667129469999963,821924.9502312798
31,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8575694750000054,866430.0315939202
32,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8761142209999946,918613.2934185133
33,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.659126599000004,974358.5447315191
34,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8295183500000007,1034671.3052402046
35,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8678676770000067,1099043.479597823
36,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.858409420000001,1154991.1158420732
37,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8936963230000003,1203911.249863404
38,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.849334263000003,1267151.9739296096
39,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8492509369999937,1330962.8621961821
40,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8850822109999967,1399460.0410008114
41,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.749018933000002,1467488.9778934815
42,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7278588679999984,1535719.0822368606
43,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.724050581,1613659.9733799435
44,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7178978040000032,1670614.5116043077
45,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8214740559999996,1751250.9866941832
46,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.915376753000004,1837301.8389869921
47,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.9149130670000147,1912713.4918955432
48,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.912252895999984,2007999.586950685
49,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.822785861,2090025.4024799457
50,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8951783470000123,2166878.3863055743
51,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.874891754999993,2252203.620619431
52,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.871544451999995,2356565.762549084
53,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8722241450000183,2444764.6426661476
54,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8092525600000045,2522011.66321232
55,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7983842680000066,2613048.055878809
56,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7587519350000207,2699763.313684099
57,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.75565369200001,2799419.338232302
58,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.757081824000011,2899044.186122369
59,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7543933520000223,3020833.2020886904
60,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.755035900999985,3095005.950694779
61,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7643890020000015,3212246.771002517
62,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.7654943129999765,3322940.2265403494
63,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.762502259999991,3388927.1741863573
64,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8373248599999954,3478714.116357904
65,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8433501009999986,3593874.1325454833
66,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.841026771999992,3702206.1662317086
67,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8392065190000153,3823181.687884265
68,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8386783079999987,3922713.5722707477
69,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8027940990000104,4035129.016804556
70,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8155167600000084,4162412.5215779245
71,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8256352259999744,4294062.808322888
72,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.82442557600001,4429929.004827682
73,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8308258809999813,4540788.0853780145
74,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8368841730000156,4647123.033610134
75,rastrigin,10,uniformsample,onepoint,generational,elitism,300,100,2.8272922790000052,4780629.422897797
