,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.448650267,0.0
1,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4970831979999994,0.0
2,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4850683139999994,0.0
3,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4791332749999997,0.0
4,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4685102879999992,0.0
5,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4670873250000014,0.0
6,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4720422080000013,0.0
7,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.4752802440000004,0.0
8,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.5264715870000014,0.0
9,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7682167329999992,0.0
10,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.781633724999999,0.0
11,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7864562899999967,0.0
12,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7665108079999996,0.0
13,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7265797199999966,0.0
14,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7731065350000002,0.0
15,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7976087809999974,0.0
16,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7990404689999977,0.0
17,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7336730389999992,0.0
18,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7304498180000039,0.0
19,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.761902758000005,0.0
20,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7160121279999956,0.0
21,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7396765509999952,0.0
22,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7014131540000008,0.0
23,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.8004281669999997,0.0
24,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.8018419349999988,0.0
25,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.8071190229999985,0.0
26,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7991563459999966,0.0
27,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.773727570999995,0.0
28,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7745735969999998,0.0
29,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.7355556760000042,0.0
30,rosenbrock,1,uniformsample,onepoint,generational,elitism,300,100,1.769840975000001,0.0
