,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.314395029,1870.2101503036122
1,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3530685610000006,6838.572895473647
2,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3659805409999999,15220.158081514106
3,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3816066180000002,29844.289163118337
4,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3278787589999999,46893.936589318844
5,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3472957710000006,67175.84295320226
6,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3532488880000013,94270.7307757519
7,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3508387519999996,122976.9986638959
8,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.3657587860000007,152666.85425509955
9,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.467590651,184393.09041690346
10,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.6074416360000008,221676.71013586884
11,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.634530471999998,259410.7042680904
12,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.6396638099999983,302501.1157499946
13,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.6651994079999994,350521.35883608426
14,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7585128530000027,411564.6402186977
15,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.744069164999999,470620.4673920257
16,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7919522569999984,537375.5914906318
17,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.8071201099999996,593732.3287678
18,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.785746906,655994.3411822054
19,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7946909190000042,725642.7740814228
20,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.796526127,802093.0899437941
21,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.799148001000006,883698.8670012228
22,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7935392239999999,961390.7731079846
23,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7980823159999986,1046393.5166925078
24,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7943497469999983,1140290.8398405076
25,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7772244100000023,1237084.3912408545
26,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7350417310000026,1329563.706653046
27,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7481594079999994,1429629.5564831279
28,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7797737809999958,1540344.5654138385
29,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7482279379999994,1642455.5526797005
30,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7750747309999966,1757322.356196331
31,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7853198829999997,1872494.0419020632
32,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.790629181,1987227.0212488687
33,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.770604776000006,2109350.1342933937
34,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.767823829000001,2227282.2119314317
35,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.736787108999998,2339531.7618608526
36,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.6978077720000044,2478878.3301678617
37,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7358572199999927,2615097.71302049
38,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7428777200000098,2754400.3947546333
39,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.747182090999999,2916458.293280815
40,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7325933110000022,3062671.879614061
41,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7572742669999997,3205755.0874387003
42,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7494899980000014,3380050.648626269
43,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.732274927000006,3519030.4497852637
44,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7290096770000076,3702770.864767384
45,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7518546140000097,3851653.0123081338
46,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7332807979999956,4008205.0250974703
47,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7600626130000023,4165573.6563682193
48,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7494783619999907,4345112.171504932
49,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7511236089999898,4512562.227720812
50,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7321730739999879,4686580.331284519
51,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.733157833000007,4863896.233174997
52,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7403882269999968,5033365.709025588
53,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7480843980000031,5231832.7349708155
54,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7214006929999925,5432406.766073284
55,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7530926620000002,5642657.646369226
56,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7604090669999977,5846338.243054121
57,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.751101958999996,6041335.709779596
58,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7484020680000043,6247021.389859435
59,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7517284899999908,6451006.47379282
60,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.679768781000007,6666869.908178334
61,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7874339239999983,6910077.544954347
62,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7732042829999983,7130417.070332442
63,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7847159979999958,7404382.170091244
64,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.7797911639999882,7642607.789056485
65,sphere,1,uniformsample,onepoint,generational,elitism,300,100,1.778850551000005,7865369.5940754
