,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,14.569351767,43.11469451000982
1,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.76860891,46.533530129303045
2,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.757626689999995,46.533530129303045
3,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.545915150000006,47.08857481212478
4,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.54845890300001,52.46786179314531
5,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.609591068,57.35774415669744
6,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.558971211,57.35774415669744
7,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.423603719000013,57.35774415669744
8,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.28796264600001,57.35774415669744
9,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.36333379200002,57.35774415669744
10,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.459284130000015,57.35774415669744
11,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.421269595000012,57.445057731449445
12,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.47003714599998,57.445057731449445
13,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.44931992299999,57.445057731449445
14,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.462215914000012,57.445057731449445
15,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.36135109099999,57.445057731449445
16,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.533479673999977,57.445057731449445
17,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.454106577999994,57.445057731449445
18,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.407556113,57.445057731449445
19,weierstrass,100,uniformsample,onepoint,generational,elitism,300,100,16.30865113899995,57.445057731449445
