,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,1.002594245,0.026145897642968177
1,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9573705000000001,0.021232870032474708
2,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9574580140000002,0.13404436977984346
3,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.958025095,0.020514775861617273
4,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9606375600000003,0.003810140061455222
5,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9641725760000002,0.003373764112805454
6,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9622042140000016,0.01951110392079453
7,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9630838549999989,0.05883594592301319
8,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9633022150000006,0.03677791479714108
9,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9636792439999997,0.02081990343557702
10,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9656860410000014,0.004369126301072745
11,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9646510290000005,0.010413216649071879
12,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9630480590000001,0.015895241459217637
13,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9637811770000013,0.050178592925649135
14,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9665062129999988,0.02093587994517547
15,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9823752549999973,0.053878965060392206
16,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9686913730000022,0.11306585342593872
17,sphere,3,uniformsample,onepoint,generational,elitism,1000,100,0.9728930859999991,0.005898560478508489
